Device,Batched/Custom Kernel,Num. Threads,Num. Runs,Time [s],Avg. Time [s],Num. Cells,Num. Nodes,K length
Tesla T4,Batched,-1,10,0.79,0.08,5978,3000,6000
Tesla T4,Custom Kernel,64,10,0.72,0.07,5978,3000,6000
Tesla T4,Custom Kernel,128,10,0.75,0.07,5978,3000,6000
Tesla T4,Custom Kernel,256,10,0.73,0.07,5978,3000,6000
Tesla T4,Custom Kernel,512,10,0.74,0.07,5978,3000,6000
Tesla T4,Custom Kernel,1024,10,0.72,0.07,5978,3000,6000
Tesla T4,Batched,-1,10,0.88,0.09,5983,3000,6000
Tesla T4,Custom Kernel,64,10,0.8,0.08,5983,3000,6000
Tesla T4,Custom Kernel,128,10,0.82,0.08,5983,3000,6000
Tesla T4,Custom Kernel,256,10,0.82,0.08,5983,3000,6000
Tesla T4,Custom Kernel,512,10,0.83,0.08,5983,3000,6000
Tesla T4,Custom Kernel,1024,10,0.81,0.08,5983,3000,6000
Tesla T4,Batched,-1,10,1.64,0.16,59972,30000,60000
Tesla T4,Custom Kernel,64,10,1.32,0.13,59972,30000,60000
Tesla T4,Custom Kernel,128,10,1.34,0.13,59972,30000,60000
Tesla T4,Custom Kernel,256,10,1.34,0.13,59972,30000,60000
Tesla T4,Custom Kernel,512,10,1.34,0.13,59972,30000,60000
Tesla T4,Custom Kernel,1024,10,1.33,0.13,59972,30000,60000
Tesla T4,Batched,-1,10,5.03,0.5,599964,300000,600000
Tesla T4,Custom Kernel,64,10,9.24,0.92,599964,300000,600000
Tesla T4,Custom Kernel,128,10,9.27,0.93,599964,300000,600000
Tesla T4,Custom Kernel,256,10,9.21,0.92,599964,300000,600000
Tesla T4,Custom Kernel,512,10,9.25,0.92,599964,300000,600000
Tesla T4,Custom Kernel,1024,10,9.23,0.92,599964,300000,600000
Tesla T4,Batched,-1,10,36.44,3.64,5999957,3000000,6000000
Tesla T4,Custom Kernel,64,10,107.29,10.73,5999957,3000000,6000000
Tesla T4,Custom Kernel,128,10,107.11,10.71,5999957,3000000,6000000
Tesla T4,Custom Kernel,256,10,106.9,10.69,5999957,3000000,6000000
Tesla T4,Custom Kernel,512,10,106.92,10.69,5999957,3000000,6000000
Tesla T4,Custom Kernel,1024,10,107.17,10.72,5999957,3000000,6000000
Tesla T4,Batched,-1,10,58.6,5.86,9999958,5000000,10000000
Tesla T4,Custom Kernel,64,10,191.26,19.13,9999958,5000000,10000000
Tesla T4,Custom Kernel,128,10,191.05,19.11,9999958,5000000,10000000
Tesla T4,Custom Kernel,256,10,191.35,19.13,9999958,5000000,10000000
Tesla T4,Custom Kernel,512,10,191.21,19.12,9999958,5000000,10000000
Tesla T4,Custom Kernel,1024,10,191.41,19.14,9999958,5000000,10000000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,796.03,79.6,5999957,3000000,6000000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,796.03,79.6,5999957,3000000,6000000
GeForce RTX 2080 Ti,Batched,-1,10,27.7,2.77,5999957,3000000,6000000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,796.03,79.6,5999957,3000000,6000000
GeForce RTX 2080 Ti,Batched,-1,10,27.7,2.77,5999957,3000000,6000000
Xeon,Batched,8,10,1222.63,122.26,9999958,5000000,10000000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,796.03,79.6,5999957,3000000,6000000
GeForce RTX 2080 Ti,Batched,-1,10,27.7,2.77,5999957,3000000,6000000
Xeon,Batched,8,10,1222.63,122.26,9999958,5000000,10000000
GeForce RTX 2080 Ti,Batched,-1,10,44.95,4.5,9999958,5000000,10000000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,796.03,79.6,5999957,3000000,6000000
GeForce RTX 2080 Ti,Batched,-1,10,27.7,2.77,5999957,3000000,6000000
Xeon,Batched,8,10,1222.63,122.26,9999958,5000000,10000000
GeForce RTX 2080 Ti,Batched,-1,10,44.95,4.5,9999958,5000000,10000000
Xeon,Batched,8,10,1.1,0.11,5975,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.51,0.05,5975,3000,6000
Xeon,Batched,8,10,1.14,0.11,5983,3000,6000
GeForce RTX 2080 Ti,Batched,-1,10,0.57,0.06,5983,3000,6000
Xeon,Batched,8,10,7.78,0.78,59972,30000,60000
GeForce RTX 2080 Ti,Batched,-1,10,1.11,0.11,59972,30000,60000
Xeon,Batched,8,10,77.54,7.75,599964,300000,600000
GeForce RTX 2080 Ti,Batched,-1,10,3.69,0.37,599964,300000,600000
Xeon,Batched,8,10,796.03,79.6,5999957,3000000,6000000
GeForce RTX 2080 Ti,Batched,-1,10,27.7,2.77,5999957,3000000,6000000
Xeon,Batched,8,10,1222.63,122.26,9999958,5000000,10000000
GeForce RTX 2080 Ti,Batched,-1,10,44.95,4.5,9999958,5000000,10000000
